"ETHNICITY","Ethnic group","YEAR","Year","SEX","Sex","AREA","Area","AGE","Age group",Value,Flags
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1003","Tokerau Beach","999999","Total people - age group",153,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1004","Karikari","999999","Total people - age group",399,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1005","Awanui","999999","Total people - age group",348,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1006","Ahipara","999999","Total people - age group",1095,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1011","Hihi","999999","Total people - age group",168,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1012","Mangonui","999999","Total people - age group",513,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1013","Other rural Far North District","999999","Total people - age group",26424,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1014","Whangaroa","999999","Total people - age group",105,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1019","Opononi","999999","Total people - age group",222,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1020","Omapere","999999","Total people - age group",390,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1021","Okaihau","999999","Total people - age group",357,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1022","Waipapa","999999","Total people - age group",129,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1023","Inland water Far North District","999999","Total people - age group",0,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1028","Ohaeawai","999999","Total people - age group",345,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1029","Ngawha Springs","999999","Total people - age group",132,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1030","Waitangi (Far North District)","999999","Total people - age group",72,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1031","Haruru","999999","Total people - age group",786,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1036","Okiato","999999","Total people - age group",150,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1037","Kawakawa","999999","Total people - age group",1326,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1038","Oakura-Whangaruru South","999999","Total people - age group",159,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1039","Hikurangi","999999","Total people - age group",1419,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1044","Ngunguru","999999","Total people - age group",879,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1045","Inlets Whangarei District","999999","Total people - age group",45,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1046","Tutukaka","999999","Total people - age group",522,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1047","Pataua","999999","Total people - age group",162,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1048","Parua Bay","999999","Total people - age group",399,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1053","Waipu Cove-Langs Beach","999999","Total people - age group",222,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1054","Baylys Beach","999999","Total people - age group",279,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1055","Dargaville","999999","Total people - age group",4455,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1056","Te Kopuru","999999","Total people - age group",453,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1061","Maungaturoto","999999","Total people - age group",861,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1062","Kaiwaka","999999","Total people - age group",525,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1063","Mangawhai Heads","999999","Total people - age group",927,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1064","Mangawhai","999999","Total people - age group",348,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1069","Kaipara Flats","999999","Total people - age group",150,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1070","Shelly Beach","999999","Total people - age group",153,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1071","Warkworth","999999","Total people - age group",3462,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1072","Matakana","999999","Total people - age group",267,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1073","Whangateau","999999","Total people - age group",117,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1078","Omaha","999999","Total people - age group",420,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1079","Sandspit","999999","Total people - age group",426,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1080","Baddeleys Beach-Campbells Beach","999999","Total people - age group",87,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1081","Parakai","999999","Total people - age group",831,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1086","Scotts Landing-Mahurangi East","999999","Total people - age group",165,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1087","Algies Bay","999999","Total people - age group",768,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1088","Mahurangi West","999999","Total people - age group",75,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1089","Waiwera","999999","Total people - age group",192,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1095","Stillwater","999999","Total people - age group",822,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1096","Inlets Auckland","999999","Total people - age group",78,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1097","Riverhead","999999","Total people - age group",1305,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1098","Other rural Auckland","999999","Total people - age group",66660,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1103","Karekare","999999","Total people - age group",195,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1104","Inland water Auckland","999999","Total people - age group",0,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1105","Huia","999999","Total people - age group",543,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1106","Parau","999999","Total people - age group",444,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1111","Waiheke West","999999","Total people - age group",6897,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1112","Matakawau Point","999999","Total people - age group",84,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1113","Omiha","999999","Total people - age group",339,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1114","Clarks Beach","999999","Total people - age group",1368,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1120","Clevedon","999999","Total people - age group",555,
